رقم العقار	اسم العقار	رقم الجوال	رسوم الاشتراك	نوع الاشتراك	تاريخ البداية	تاريخ الانتهاء	الأيام المتبقية	رابط الإيصال	علم انتهاء الاشتراك	علم إشعار الإيصال	آخر دورة	نوع الباقة
40588	شالية ظل	545540588		عادي	2025-08/07	2025/09/07	0		TRUE	FALSE		
28631	شالية سكون 	510028631		عادي	2025-08/04	2025/09/05	0		TRUE	FALSE		
38806	شالية اسدام	505438806	33.44	عادي	2025-/10/20	2025/11/19	0		TRUE	FALSE	2025/10-3	
88822	شاليه براون	542788822	25	عادي	2025-/10/15	2025/11/18	0		TRUE	FALSE	2025/10-3	
22866	درة الرمال	538522866	35	عادي	2025-/10/01	2025/10/30	0		TRUE	FALSE	2025/10-2	
48767	شاليه ايفوربيا	558848767	35	عادي	2025-/09/21	2025/10/21	0		TRUE	FALSE	2025/10-2	
22549	شالية الآمال	564122549	35	عادي	2025-/09/21	2025/10/21	0		TRUE	FALSE	2025/10-2	
25950	شاليه آصرة	540825950	60	عادي	2025-/09/12	2025/11/11	0		TRUE	FALSE	2025/10-2	
56560	استراحة كابيان	545756560	70	عادي	2025-/08/27	2025/10/27	0		TRUE	FALSE	2025/10-2	
65750	شاليهات لشبونا	556465750		عادي	2025-/08/14	2025/09/14	0		TRUE	FALSE		
52950	شاليه خلاب	547752950		عادي	2025-/08/14	2025/09/14	0		TRUE	FALSE		
10707	استراحة الملتقى	549710707		عادي	2025-/08/12	2025/09/12	0		TRUE	FALSE		
48703	شاليه بلاتينيوم	563648703	35	عادي	2025/11/18	2025/12/17	0	https://drive.google.com/file/d/13HjIuOhpkX_qVBjMEIBIDHq7NegTPPrz/view?usp=drivesdk	FALSE	TRUE	2025/11-4	
99651	شالية الكرم	540999655	25	عادي	2025/11/18	2025/12/17	0	https://drive.google.com/file/d/14ESI6mluFpiIliCLPvW0XJkxlPERQCfh/view?usp=drivesdk	FALSE	TRUE	2025/11-4	
99655	شاليه الأمل	540999655	25	عادي	2025/11/18	2025/12/17	0	https://drive.google.com/file/d/10sxKoGL-U7ODgwACyKR2oMHwCF0zI7sp/view?usp=drivesdk	FALSE	TRUE	2025/11-4	
72851	شاليه ردن 	501872851	35	عادي	2025/11/15	2025/12/14	0	https://drive.google.com/file/d/1uLyya94lQhzmR3Opy4qVNK67gR6Nte-z/view?usp=drivesdk	TRUE	FALSE	2025/11-4	
64440	شاليه رولانا فيلا الفندقي	539664440	35	عادي	2025/11/15	2025/12/14	0	https://drive.google.com/file/d/1LZuxLB3XflnmBl3JiF8cfCA-Wcfc9Il0/view?usp=drivesdk	TRUE	FALSE	2025/11-4	
31285	شاليه ثمانية	530531285	35	عادي	2025/11/13	2025/12/12	0	https://drive.google.com/file/d/1SGYFxovjNR4RD84fZG53wkHDWO3xTllM/view?usp=drivesdk	TRUE	FALSE	2025/11-4	
59330	شالية برنوف	547959330	32.75	عادي	2025/11/13	2025/12/13	0	تم الدفع بتاريخ 2025/11/13 باسم شالية برنوف عبر البوابة	TRUE	FALSE	2025/11-4	
77707	شاليه ايسام	540577707	32.75	عادي	2025/11/10	2025/12/10	0	تم الدفع بتاريخ 2025/11/10 باسم شاليه ايسام عبر البوابة	TRUE	FALSE	2025/11-4	
88728	شاليه القصيعة 	503988728	33.44	عادي	2025/11/05	2025/12/07	0	تم الدفع بتاريخ 5/11/2025 باسم شاليه القصيعة عبر البوابة	TRUE	FALSE	2025/11-4	
00428	شاليه ودق	501400428	33.44	عادي	2025/11/05	2025/12/07	0	تم الدفع بتاريخ 3/11/2025 باسم شاليه ودق عبر البوابة	TRUE	FALSE	2025/11-4	
32524	شاليه الماسة	539204629	35	عادي	2025/10/27	2025/11/25	0	https://drive.google.com/file/d/14v_DVDjm1oNno-nxfq8oCs79YUQo0BGA/view?usp=drivesdk	TRUE	FALSE	2025/10-3	
49999	شاليه نماء	564649999	35	عادي	2025/10/25	2025/11/23	0	https://drive.google.com/file/d/1OoS2afUkV09xOVhS6HTn99XY5bY_FXZ1/view?usp=drivesdk	TRUE	FALSE	2025/10-3	
42900	شالية تعاليل		60	عادي	2025/10/19	2025/12/17	0	https://drive.google.com/file/d/1DJN5cVWm2ChBrRJFhF49dorCEnzITBER/view?usp=drivesdk	FALSE	TRUE	2025/10-3	
61780	منتجع القيروان 	509661780	58.16	عادي	2025/10/18	2025/12/17	0	تم الدفع بتاريخ 18/10/2025 باسم منتجع القيروان عبر البوابة	FALSE	TRUE	2025/10-3	
74149	شاليه داي اووف	533774149	58.16	عادي	2025/10/04	2025/12/03	0	تم الدفع بتاريخ 4/10/2025 باسم شاليه داي اووف عبر البوابة	TRUE	FALSE	2025/10-3	
78881	شاليه درة الاندلس	553148885	60	عادي	2025/10/21	2025/12/19	0	https://drive.google.com/file/d/1y7os1zLR_kmmy1ztV3nSY6ATNMlPZuXg/view?usp=drivesdk	FALSE	TRUE	2025/10-3	
41872	شالية ريفاليك الفندقي	508341872	33.44	مميز	2025/11/25	2025/12/24	4	https://drive.google.com/file/d/1UTMWZKd2wjBxYRf5PMKkF2KC9G4biHxq/view?usp=drivesdk	FALSE	TRUE	2025/11-4	
31777	شالية لِندا	545231777	35	مميز	2025/11/26	2025/12/25	5	https://drive.google.com/file/d/1N_blads7sLLdXp6lEBV12GXojTwxc5WD/view?usp=drivesdk	FALSE	TRUE	2025/11-4	
45967	شاليه AMJ	550545967	58.16	مميز	2025/10/27	2025/12/26	6	تم الدفع بتاريخ 27/10/2025 باسم شاليه AMJ عبر البوابة	FALSE	TRUE	2025/10-3	
35648	شالية ڤوليت	502035648	58.16	مميز	2025/10/27	2025/12/26	6	تم الدفع بتاريخ 27/10/2025 باسم شالية ڤوليت عبر البوابة	FALSE	TRUE	2025/10-3	
03345	شاليه أمسية 	510103345	32.75	مميز	2025/11/29	2025/12/29	9	تم الدفع بتاريخ 2025/11/29 باسم شاليه أمسية  عبر البوابة	FALSE	TRUE	2025/11-4	
96703	شاليه لوزان	501996703	58.16	مميز	2025/10/30	2025/12/29	9	تم الدفع بتاريخ 30/10/2025 باسم شاليه لوزان عبر البوابة	FALSE	TRUE	2025/10-3	
22221	شاليه الكورنيش العاب مائي	564271318	58.16	مميز	2025/11/02	2025/12/31	11	تم الدفع بتاريخ 2025/11/02 باسم الكورنيش العاب مائي عبر البوابة	FALSE	TRUE	2025/11-4	
03826	شاليه مودل1	554703826	33.44	مميز	2025/12/02	2026/01/01	12	تم الدفع بتاريخ 2025/12/02 باسم شاليه مودل1 عبر البوابة	FALSE	TRUE	2025/11-4	
70113	شاليه اونلي يو	546070113	58.16	مميز	2025/11/03	2026/01/02	13	تم الدفع بتاريخ 3/11/2025 باسم شاليه اونلي يو عبر البوابة	FALSE	TRUE	2025/11-4	
80581	الريف الشرقي	536780581	33.44	مميز	2025/12/05	2026/01/04	15	تم الدفع بتاريخ 2025/12/05 باسم الريف الشرقي عبر البوابة	FALSE	TRUE	2025/11-4	
11111	qq	591011111	20	مميز	2025/12/07	2026/01/06	17	تم الدفع بتاريخ 2025/12/07 باسم qq عبر البوابة	FALSE	TRUE	2025/11-4	
22798	شاليه الملفى 	575522798	50	مميز	2025/11/09	2026/01/07	18	https://drive.google.com/file/d/14z4g-y8O62sb1dRodNflIuMIbY-M5ulK/view?usp=drivesdk	FALSE	TRUE	2025/11-4	
44637	منتجع الربى	503544637	60	مميز	2025/11/11	2026/01/09	20	https://drive.google.com/file/d/1fBPzONN5B7oUByVMP1qLzgL0oA5d5442/view?usp=drivesdk	FALSE	TRUE	2025/11-4	
35349	شاليه الريف الاوربي	542535349	60	مميز	2025/11/12	2026/01/10	21	https://drive.google.com/file/d/1TXRhd2HPwarX5YkPCcLMWfp3rnISNuph/view?usp=drivesdk	FALSE	TRUE	2025/11-4	
57436	شاليهات نيلا	549057436	58.16	مميز	2025/11/11	2026/01/10	21	تم الدفع بتاريخ 2025/11/11 باسم شاليهات نيلا عبر البوابة	FALSE	TRUE	2025/11-4	
57090	شاليه وسق	563557090	35	مميز	2025/12/12	2026/01/10	21	https://drive.google.com/file/d/1Jr7PN90fJDX6Cb76AY-nC75h5PAWnYSy/view?usp=drivesdk	FALSE	TRUE	2025/11-4	
42799	منتجع اضواء الشرق	560442799	20	مميز	2025/12/11	2026/01/10	21				2025/11-4	pkg-camps
22968	استراحه المودة	‭539322968‬	60	مميز	2025/11/16	2026/01/14	25	https://drive.google.com/file/d/1s_7d2RgjlJprE8mlc1YmyqG2WNvWthe9/view?usp=drivesdk	FALSE	TRUE	2025/11-4	
11677	ششاليه سولانا 	508811677	25	مميز	2026/01/18	2026/02/17	59	https://pub-e2fc1c0a598f4f0e91e47af63219848e.r2.dev/receipts/11677-1766187696619.jpg	FALSE	TRUE	2025/11-4	pkg-month-2properties
25011	شالية إكليل الخزامى 	539725011	58.16	مميز	2025/11/20	2026/01/19	30	تم الدفع بتاريخ 2025/11/20 باسم شالية إكليل الخزامى  عبر البوابة	FALSE	TRUE	2025/11-4	
04181	شاليه لانتانا	537904182	25	مميز	2025/11/27	2026/01/25	36	https://drive.google.com/file/d/1eam_fQjN0wpgMn8wejTLpFto_5rnHalV/view?usp=drivesdk	FALSE	TRUE	2025/11-4	
04182	شاليه تالارا 	570204182	25	مميز	2025/11/27	2026/01/25	36	https://drive.google.com/file/d/1RVr_ZhiUJFLsQ4jIrKvFK3I-dQrZ9ylz/view?usp=drivesdk	FALSE	TRUE	2025/11-4	
98108	شاليه لاوس 	597998108	56.98	مميز	2025/11/27	2026/01/26	37	تم الدفع بتاريخ 2025/11/27 باسم شاليه لاوس  عبر البوابة	FALSE	TRUE	2025/11-4	
93841	شاليهات فهدة	556693841	58.16	مميز	2025/12/03	2026/01/31	42	https://drive.google.com/file/d/13-cPky7IJCaAIjMvt4SLa1nanUeysvMe/view?usp=drivesdk	FALSE	TRUE	2025/11-4	
38701	شاليه لينا	536838701	58.16	مميز	2025/12/04	2026/02/02	44	تم الدفع بتاريخ 2025/12/04 باسم شاليه لينا عبر البوابة	FALSE	TRUE	2025/11-4	
24090	شاليه اكزورا الفندقي	541124090	60	مميز	2025/12/08	2026/02/05	47	https://drive.google.com/file/d/1PThP02McCmGDXaOF60ffEW7ZfWwfhtlT/view?usp=drivesdk	FALSE	TRUE	2025/10-3	
14050	شاليه سلفر مون	511414050	60	مميز	2025/12/10	2026/02/07	49	https://drive.google.com/file/d/1mUt_eJgrpBDCb3i06tPskC9z27X6oaya/view?usp=drivesdk	FALSE	TRUE	2025/11-4	
38228	شالية اكليل	545338228	60	مميز	2025/12/10	2026/02/08	50	تم الدفع بتاريخ 2025/12/10 باسم شالية اكليل عبر البوابة	FALSE	TRUE	2025/11-4	
88115	شاليه إيبرا	551488115	35	مميز	2025/12/20	2026/01/19	30	https://pub-e2fc1c0a598f4f0e91e47af63219848e.r2.dev/receipts/88115-1766191949533.jpg	FALSE	TRUE	2025/11-4	pkg-month
89719	شاليه blush	582089719		عادي								
13740	شالية غاردينيا 	555013740		عادي								
03030	شاليه هابي لاند	538203030		عادي								
32825	شاليه السمر الريفي 	539532825		عادي								
03009	شاليه ميكانوس للألعاب المائية 	538903009		عادي								
	شاليه أنس	56663117		عادي								
97473	شالية انجوي	530997473		عادي								
23881	شالية هيلين	504123881		عادي								
50583	قاعة ريمس	557550583		عادي								
38170	شاليه قمه نجد	533838170		عادي								
78196	شاليه تاليد	534278196		عادي								
49449	منتجع الدره	551449449		عادي								
67666	شالية المنار	535567666		عادي								
08223	شالية الجوهرة 💎	566208223		عادي								
06446	منتجع هاي ڤالي 	541056446		عادي								
27696	شاليه وصل	547627696		عادي								
44044	شاليه الـريـم	552744044		عادي								
05065	شاليه لايف	506707210		عادي								
89498	شالية تجربة	966591005515		عادي								
