رقم العقار	اسم العقار	رقم الجوال	رسوم الاشتراك	نوع الاشتراك	تاريخ البداية	تاريخ الانتهاء	الأيام المتبقية	رابط الإيصال	علم انتهاء الاشتراك	علم إشعار الإيصال	آخر دورة	نوع الباقة	رقم العقار الثاني												
48703	شاليه بلاتينيوم	563648703	35	عادي	2025/11/18	2025/12/17	0	https://drive.google.com/file/d/13HjIuOhpkX_qVBjMEIBIDHq7NegTPPrz/view?usp=drivesdk	FALSE	TRUE	2025/11-4														
99651	شالية الكرم	540999655	25	عادي	2025/11/18	2025/12/17	0	https://drive.google.com/file/d/14ESI6mluFpiIliCLPvW0XJkxlPERQCfh/view?usp=drivesdk	FALSE	TRUE	2025/11-4														
99655	شاليه الأمل	540999655	25	عادي	2025/11/18	2025/12/17	0	https://drive.google.com/file/d/10sxKoGL-U7ODgwACyKR2oMHwCF0zI7sp/view?usp=drivesdk	FALSE	TRUE	2025/11-4														
72851	شاليه ردن 	501872851	35	عادي	2025/11/15	2025/12/14	0	https://drive.google.com/file/d/1uLyya94lQhzmR3Opy4qVNK67gR6Nte-z/view?usp=drivesdk	TRUE	FALSE	2025/11-4														
64440	شاليه رولانا فيلا الفندقي	539664440	35	عادي	2025/11/15	2025/12/14	0	https://drive.google.com/file/d/1LZuxLB3XflnmBl3JiF8cfCA-Wcfc9Il0/view?usp=drivesdk	TRUE	FALSE	2025/11-4														
31285	شاليه ثمانية	530531285	35	عادي	2025/11/13	2025/12/12	0	https://drive.google.com/file/d/1SGYFxovjNR4RD84fZG53wkHDWO3xTllM/view?usp=drivesdk	TRUE	FALSE	2025/11-4														
59330	شالية برنوف	547959330	32.75	عادي	2025/11/13	2025/12/13	0	تم الدفع بتاريخ 2025/11/13 باسم شالية برنوف عبر البوابة	TRUE	FALSE	2025/11-4														
77707	شاليه ايسام	540577707	32.75	عادي	2025/11/10	2025/12/10	0	تم الدفع بتاريخ 2025/11/10 باسم شاليه ايسام عبر البوابة	TRUE	FALSE	2025/11-4														
88728	شاليه القصيعة 	503988728	33.44	عادي	2025/11/05	2025/12/07	0	تم الدفع بتاريخ 5/11/2025 باسم شاليه القصيعة عبر البوابة	TRUE	FALSE	2025/11-4														
00428	شاليه ودق	501400428	33.44	عادي	2025/11/05	2025/12/07	0	تم الدفع بتاريخ 3/11/2025 باسم شاليه ودق عبر البوابة	TRUE	FALSE	2025/11-4														
41872	شالية ريفاليك الفندقي	508341872	33.44	مميز	2025/11/25	2025/12/24	4	https://drive.google.com/file/d/1UTMWZKd2wjBxYRf5PMKkF2KC9G4biHxq/view?usp=drivesdk	FALSE	TRUE	2025/11-4														
31777	شالية لِندا	545231777	35	مميز	2025/11/26	2025/12/25	5	https://drive.google.com/file/d/1N_blads7sLLdXp6lEBV12GXojTwxc5WD/view?usp=drivesdk	FALSE	TRUE	2025/11-4														
03345	شاليه أمسية 	510103345	32.75	مميز	2025/11/29	2025/12/29	9	تم الدفع بتاريخ 2025/11/29 باسم شاليه أمسية  عبر البوابة	FALSE	TRUE	2025/11-4														
22221	شاليه الكورنيش العاب مائي	564271318	58.16	مميز	2025/11/02	2025/12/31	11	تم الدفع بتاريخ 2025/11/02 باسم الكورنيش العاب مائي عبر البوابة	FALSE	TRUE	2025/11-4														
03826	شاليه مودل1	554703826	33.44	مميز	2025/12/02	2026/01/01	12	تم الدفع بتاريخ 2025/12/02 باسم شاليه مودل1 عبر البوابة	FALSE	TRUE	2025/11-4														
70113	شاليه اونلي يو	546070113	58.16	مميز	2025/11/03	2026/01/02	13	تم الدفع بتاريخ 3/11/2025 باسم شاليه اونلي يو عبر البوابة	FALSE	TRUE	2025/11-4														
80581	الريف الشرقي	536780581	33.44	مميز	2025/12/05	2026/01/04	15	تم الدفع بتاريخ 2025/12/05 باسم الريف الشرقي عبر البوابة	FALSE	TRUE	2025/11-4														
11111	qq	591011111		مميز	2025/12/07	2026/01/06	17	تم الدفع بتاريخ 2025/12/07 باسم qq عبر البوابة	FALSE	TRUE	2025/11-4														
22798	شاليه الملفى 	575522798	50	مميز	2025/11/09	2026/01/07	18	https://drive.google.com/file/d/14z4g-y8O62sb1dRodNflIuMIbY-M5ulK/view?usp=drivesdk	FALSE	TRUE	2025/11-4														
